1010B,MAGOON GREENHOUSE 8,21.306205,-157.810239
1010C,MAGOON GREENHOUSE 9,21.306095,-157.810137
1011A,WOODLAWN 1,21.307278,-157.812695
1011B,WOODLAWN 2,21.307358,-157.812577
1011C,WOODLAWN 3,21.307437,-157.812455
1011D,WOODLAWN 4,21.307132,-157.812557
1011E,WOODLAWN 5,21.307052,-157.812401
1011F,WOODLAWN 6,21.307192,-157.812267
1011G,WOODLAWN 7,21.30699,-157.812329
1011H,WOODLAWN H,21.306988,-157.812149
1012A,INSTITUTE FOR ASTRONOMY 1,21.307513,-157.811713
1012B,INSTITUTE FOR ASTRONOMY 2,21.307421,-157.81134
1012C,INSTITUTE FOR ASTRONOMY 3,21.307031,-157.811646
1013D,HALE TUAHINE,21.307483,-157.809195
1031C,WARRIOR RECREATION CENTER ANNEX,21.298935,-157.818366
1034A,MAGOON GREENHOUSE 3,21.306389,-157.809847
1034B,MAGOON GREENHOUSE 2,21.306479,-157.809923
1034C,MAGOON GREENHOUSE 1,21.306569,-157.809998
1038A,UNIVERSITY AVENUE BUILDING 1,21.298262,-157.822025
1038B,UNIVERSITY AVENUE BUILDING 2,21.298314,-157.821808
1038C,UNIVERSITY AVENUE BUILDING 3,21.298267,-157.821596
1038D,UNIVERSITY AVENUE BUILDING 4,21.29811,-157.822047
1046B,KRAUSS HALL PRI BUILDING 1,21.297514,-157.817754
1046C,KRAUSS HALL PRI BUILDING 2,21.297387,-157.817547
1046D,KRAUSS HALL PRI BUILDING 3,21.297769,-157.817458
1046T,KRAUSS ANNEX 19,21.297776,-157.817571
1046U,KRAUSS ANNEX 7,21.298081,-157.817799
1068A,CASTLE MEMORIAL SHED,21.29771,-157.823587
1076A,CENTER FOR KOREAN STUDIES PAVILLION,21.301294,-157.814408
1092F,LUNALILO BUILDING 1,21.295041,-157.820213
1092I,LUNALILO BUILDING 2,21.29494,-157.820336
1098A,MARINE SCIENCES MECHANICAL BUILDING,21.297964,-157.815369
1103A,BACHMAN ANNEX 9,21.296985,-157.819259
1103B,BACHMAN ANNEX 10,21.297109,-157.819183
1103C,BACHMAN ANNEX 11,21.297274,-157.819245
1103D,BACHMAN ANNEX 12,21.297394,-157.819245
1103E,BACHMAN ANNEX 13,21.297511,-157.819253
1108O,MAKAI CAMPUS 10,21.291983,-157.8168
1108P,MAKAI CAMPUS 11,21.292092,-157.816901
1108Q,MAKAI CAMPUS 12,21.291916,-157.816725
1108R,MAKAI CAMPUS 13,21.292839,-157.816843
1108S,MAKAI CAMPUS 14,21.293038,-157.816768
1108T,MAKAI CAMPUS 15,21.292793,-157.817017
1108U,MAKAI CAMPUS 16,21.292965,-157.816931
1120A,HALE WAINANI F TOWER,21.29286,-157.814332
1120B,HALE WAINANI G TOWER,21.292488,-157.814246
1120C,HALE WAINANI H TOWER,21.292043,-157.814517
1120D,HALE WAINANI I TOWER,21.292473,-157.814528
1122A,HALE ALOHA - ILIMA TOWER,21.29469,-157.812652
1122B,HALE ALOHA - LEHUA TOWER,21.29483,-157.813323
1122C,HALE ALOHA - MOKIHANA TOWER,21.294055,-157.812628
1122D,HALE ALOHA - LOKELANI TOWER,21.294015,-157.813242
1122E,HALE ALOHA - CAFETERIA,21.294356,-157.81283
1123A,HALE NOELANI TOWER A,21.29344,-157.813975
1123B,HALE NOELANI TOWER B,21.293164,-157.813951
1123C,HALE NOELANI TOWER C,21.293424,-157.813415
1123D,HALE NOELANI TOWER D,21.293571,-157.812849
1123E,HALE NOELANI TOWER E,21.293676,-157.813289
1124A,ADMINISTRATIVE SERVICES BUILDING 2,21.29806,-157.819734
1133A,SINCLAIR ANNEX 1,21.298239,-157.82016
1133B,SINCLAIR ANNEX 2,21.298143,-157.820203
1154A,WAAHILA FACULTY HOUSING BUILDING A,21.295914,-157.81218
1154B,WAAHILA FACULTY HOUSING BUILDING B,21.295539,-157.811577
1154C,WAAHILA FACULTY HOUSING BUILDING C,21.295816,-157.811427
1154D,WAAHILA FACULTY HOUSING BUILDING D,21.296093,-157.811829
1154E,WAAHILA FACULTY HOUSING BUILDING E,21.296538,-157.811834
1171A,VARSITY BUILDING A,21.293731,-157.819312
1171B,VARSITY BUILDING B,21.293659,-157.819215
1171C,VARSITY BUILDING C,21.293547,-157.819332
1171E,VARSITY BUILDING E,21.293209,-157.818654
1171F,VARSITY BUILDING F,21.293014,-157.818262
1171G,VARSITY BUILDING G,21.293309,-157.818447
1171H,VARSITY BUILDING H,21.293561,-157.818949
1171L,VARSITY BUILDING L,21.293706,-157.819493
1171M,VARSITY BUILDING M,21.293706,-157.819603
1171N,VARSITY BUILDING N,21.293878,-157.81959
1172F,BIOMEDICAL SCIENCES MECHANICAL BUILDING,21.304159,-157.81438
1174A,LOWER CAMPUS 1,21.292616,-157.817283
1174B,LOWER CAMPUS 2,21.292551,-157.817392
1174C,LOWER CAMPUS 3,21.292444,-157.817121
1174D,LOWER CAMPUS 4,21.292349,-157.817207
1179A,LINCOLN HALL ANNEX 1,21.30117,-157.81394
1179B,LINCOLN HALL ANNEX 2,21.300923,-157.813924
1192A,KUYKENDALL MECHANICAL BUILDING,21.298191,-157.817665
1193A,PHYSICAL PLANT BUILDING 1,21.303391,-157.813438
1193B,PHYSICAL PLANT BUILDING 2,21.303701,-157.813205
